handle,text,url,earliest_date,is_story,domain
BonginoReport,"1 in 6 Hiring Managers Told to Deprioritize White Men, Study Finds",https://www.theepochtimes.com/1-in-6-hiring-managers-told-to-deprioritize-white-men-study-finds_4852875.html?utm_source=partner&utm_campaign=BonginoReport,2022-11-10,True,theepochtimes.com
worldnetdaily,10 Accomplished Female Gamers Throughout Esports History,https://clck.mgid.com/ghits/11533308/i/57510778/0/pp/1/1?h=IJJT5a_6y054b0fZOasY1H3n9c5iNu6zMh9geqihvWtwx7g6JXBpvPp7Pt4KKsdY0s0kBaLebDkpLpUXsfipMA**&rid=94a2070d-60df-11ed-9683-78ac440ce852&tt=Direct&att=3&afrd=8&iv=11&prid=10&ct=1&gdprApplies=0&st=-360&mp4=1,2022-11-10,True,mgid.com
worldnetdaily,10 Most Influential Women In History,https://clck.mgid.com/ghits/8164890/i/57510778/0/pp/1/1?h=tJdU00WlYnE-WFFBIkcglFMGeAbejW4rXat_8syb5ewBAE5b-ONfRIevE9ZcvMQhR5IE-V3Xipsn9wETGyFk1A**&rid=92259844-60d7-11ed-81c0-78ac440ce5be&tt=Direct&att=3&afrd=8&iv=11&prid=10&ct=1&gdprApplies=0&muid=maaOxEsJixa1&st=-300&mp4=1,2022-11-10,True,mgid.com
DRUDGE,"100,000 Russians killed or wounded in war",https://www.msn.com/en-us/news/world/well-over-100000-russian-troops-killed-or-wounded-in-ukraine-us-says/ar-AA13Xeqn,2022-11-10,True,msn.com
BreitbartNews,16K Linemen Ready for Action as Tropical Storm Nicole Approaches Florida,https://www.breitbart.com/politics/2022/11/09/ron-desantis-16k-linemen-staged-florida-braces-tropical-system-nicole/,2022-11-09,True,breitbart.com
worldnetdaily,17 Mind-Blowing Makeovers By Makeup Artist Vanessa Davis,https://clck.mgid.com/ghits/3805639/i/57510777/0/pp/1/1?h=T6wfwjIvlaBI6NUDy_JicX1eDmaIDjdZ_RgkNtdDoJOnHPgL59NFEAHIVFjy3KJ--yb37s9OAh1e62INB8UyHw**&rid=853db090-5f37-11ed-b904-78ac440ce852&tt=Direct&att=3&afrd=8&iv=11&prid=10&ct=1&gdprApplies=0&st=-300&mp4=1&muid=ma7Caw16RKwn,2022-11-08,True,mgid.com
EpochTimes,"1hrPaul Arteta Wins Orange County, New York, Sheriff Race With Wide Margin",https://www.theepochtimes.com/paul-arteta-wins-orange-county-new-york-sheriff-race-with-wide-margin_4852523.html,2022-11-09,True,theepochtimes.com
EpochTimes,"1st Winter Storm of Season Rolling Through Montana, Dakotas",https://www.theepochtimes.com/1st-winter-storm-of-season-rolling-through-montana-dakotas_4855993.html,2022-11-10,True,theepochtimes.com
NRO,2 View Slide Show,https://www.nationalreview.com/photos/cartoons-of-the-day-november-8-2022/?utm_source=recirc-desktop&utm_medium=homepage&utm_campaign=right-rail&utm_content=photos&utm_term=first,2022-11-08,True,nationalreview.com
theblaze,2 adolescents arrested for murder and arson after an apartment fire kills a mother and her 10-year-old child,https://www.theblaze.com/news/2-adolescents-arrested-for-murder-and-arson-after-an-apartment-fire-kills-a-mother-and-her-10-year-old-child,2022-11-09,True,theblaze.com
